"Accession"	"Description"	"Sum(Coverage)"	"Sum(# Proteins)"	"Sum(# Unique Peptides)"	"Sum(# Peptides)"	"Sum(# PSMs)"	"# Peptides A2"	"# Peptides A6"	"# PSM A2"	"# PSM A6"	"Coverage A2"	"Coverage A6"	"Score A2"	"Score A6"	"# AAs"	"MW [kDa]"	"calc. pI"
"P26927"	"Hepatocyte growth factor-like protein OS=Homo sapiens GN=MST1 PE=1 SV=2 - [HGFL_HUMAN]"	"9.28 %"	"3"	"4"	"4"	"6"	"2"	"4"	"2"	"4"	"3.94 %"	"9.28 %"	"82.35 "	"13.79 "	"711"	"80.3"	"7.68"
"P00738"	"Haptoglobin OS=Homo sapiens GN=HP PE=1 SV=1 - [HPT_HUMAN]"	"20.20 %"	"2"	"6"	"6"	"16"	"5"	"5"	"8"	"8"	"15.27 %"	"17.98 %"	"317.89 "	"26.30 "	"406"	"45.2"	"6.58"
"P17936"	"Insulin-like growth factor-binding protein 3 OS=Homo sapiens GN=IGFBP3 PE=1 SV=2 - [IBP3_HUMAN]"	"19.24 %"	"4"	"3"	"3"	"14"	"3"	"3"	"7"	"7"	"19.24 %"	"19.24 %"	"223.77 "	"28.41 "	"291"	"31.7"	"8.69"
"P01344"	"Insulin-like growth factor II OS=Homo sapiens GN=IGF2 PE=1 SV=1 - [IGF2_HUMAN]"	"13.89 %"	"5"	"2"	"2"	"8"	"2"	"2"	"4"	"4"	"13.89 %"	"13.89 %"	"198.99 "	"15.50 "	"180"	"20.1"	"9.32"
"P01876"	"Ig alpha-1 chain C region OS=Homo sapiens GN=IGHA1 PE=1 SV=2 - [IGHA1_HUMAN]"	"37.11 %"	"10"	"3"	"8"	"31"	"4"	"6"	"11"	"20"	"13.60 %"	"32.58 %"	"437.74 "	"65.76 "	"353"	"37.6"	"6.51"
"P01877"	"Ig alpha-2 chain C region OS=Homo sapiens GN=IGHA2 PE=1 SV=3 - [IGHA2_HUMAN]"	"43.24 %"	"6"	"3"	"8"	"35"	"4"	"7"	"13"	"22"	"18.82 %"	"41.18 %"	"506.57 "	"74.51 "	"340"	"36.5"	"6.10"
"P19827"	"Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens GN=ITIH1 PE=1 SV=3 - [ITIH1_HUMAN]"	"13.72 %"	"2"	"7"	"7"	"21"	"5"	"7"	"9"	"12"	"8.01 %"	"13.72 %"	"388.88 "	"43.89 "	"911"	"101.3"	"6.79"
"Q14624"	"Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens GN=ITIH4 PE=1 SV=4 - [ITIH4_HUMAN]"	"8.71 %"	"6"	"6"	"6"	"49"	"6"	"5"	"23"	"26"	"8.71 %"	"7.53 %"	"720.77 "	"102.40 "	"930"	"103.3"	"6.98"
"P13645"	"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6 - [K1C10_HUMAN]"	"5.48 %"	"1"	"2"	"3"	"4"	"3"	""	"3"	""	"5.48 %"	"0.00 %"	"134.68 "	""	"584"	"58.8"	"5.21"
"P08779"	"Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4 - [K1C16_HUMAN]"	"12.90 %"	"1"	"4"	"5"	"12"	"5"	"5"	"6"	"6"	"12.90 %"	"12.90 %"	"252.09 "	"18.37 "	"473"	"51.2"	"5.05"
"P35527"	"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3 - [K1C9_HUMAN]"	"8.35 %"	"2"	"2"	"2"	"4"	"2"	"2"	"2"	"2"	"8.35 %"	"8.35 %"	"62.17 "	"9.60 "	"623"	"62.0"	"5.24"
"P04264"	"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6 - [K2C1_HUMAN]"	"23.60 %"	"6"	"11"	"13"	"36"	"13"	"12"	"19"	"17"	"23.60 %"	"22.05 %"	"930.88 "	"57.00 "	"644"	"66.0"	"8.12"
"P04259"	"Keratin, type II cytoskeletal 6B OS=Homo sapiens GN=KRT6B PE=1 SV=5 - [K2C6B_HUMAN]"	"12.59 %"	"1"	"4"	"6"	"19"	"6"	"6"	"10"	"9"	"12.59 %"	"12.59 %"	"442.67 "	"27.67 "	"564"	"60.0"	"8.00"
"P03952"	"Plasma kallikrein OS=Homo sapiens GN=KLKB1 PE=1 SV=1 - [KLKB1_HUMAN]"	"23.35 %"	"3"	"12"	"12"	"32"	"12"	"8"	"19"	"13"	"23.35 %"	"18.18 %"	"600.87 "	"39.60 "	"638"	"71.3"	"8.22"
"P0CF74"	"Ig lambda-6 chain C region OS=Homo sapiens GN=IGLC6 PE=4 SV=1 - [LAC6_HUMAN]"	"46.23 %"	"22"	"3"	"3"	"7"	"3"	"3"	"3"	"4"	"46.23 %"	"46.23 %"	"158.13 "	"14.24 "	"106"	"11.3"	"7.24"
"P51884"	"Lumican OS=Homo sapiens GN=LUM PE=1 SV=2 - [LUM_HUMAN]"	"16.57 %"	"2"	"4"	"4"	"9"	"4"	"2"	"4"	"5"	"16.57 %"	"10.65 %"	"137.58 "	"16.73 "	"338"	"38.4"	"6.61"
"P33908"	"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA OS=Homo sapiens GN=MAN1A1 PE=1 SV=3 - [MA1A1_HUMAN]"	"4.13 %"	"1"	"2"	"2"	"3"	"2"	""	"3"	""	"4.13 %"	"0.00 %"	"108.47 "	""	"653"	"72.9"	"6.47"
"P12955"	"Xaa-Pro dipeptidase OS=Homo sapiens GN=PEPD PE=1 SV=3 - [PEPD_HUMAN]"	"5.88 %"	"3"	"3"	"3"	"11"	"3"	"3"	"6"	"5"	"5.88 %"	"5.88 %"	"297.75 "	"13.85 "	"493"	"54.5"	"6.00"
"Q96PD5"	"N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens GN=PGLYRP2 PE=1 SV=1 - [PGRP2_HUMAN]"	"29.34 %"	"3"	"11"	"11"	"97"	"11"	"10"	"49"	"48"	"29.34 %"	"27.95 %"	"1866.87 "	"180.31 "	"576"	"62.2"	"7.55"
"P00747"	"Plasminogen OS=Homo sapiens GN=PLG PE=1 SV=2 - [PLMN_HUMAN]"	"63.70 %"	"1"	"47"	"47"	"384"	"42"	"38"	"191"	"193"	"57.65 %"	"56.54 %"	"6288.89 "	"647.67 "	"810"	"90.5"	"7.24"
"P32119"	"Peroxiredoxin-2 OS=Homo sapiens GN=PRDX2 PE=1 SV=5 - [PRDX2_HUMAN]"	"14.14 %"	"1"	"2"	"2"	"5"	"2"	""	"5"	""	"14.14 %"	"0.00 %"	"190.15 "	""	"198"	"21.9"	"5.97"
"P02753"	"Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=3 - [RET4_HUMAN]"	"71.64 %"	"2"	"9"	"9"	"113"	"9"	"8"	"52"	"61"	"71.64 %"	"66.67 %"	"1949.24 "	"216.10 "	"201"	"23.0"	"6.07"
"P05109"	"Protein S100-A8 OS=Homo sapiens GN=S100A8 PE=1 SV=1 - [S10A8_HUMAN]"	"20.43 %"	"1"	"2"	"2"	"2"	"2"	""	"2"	""	"20.43 %"	"0.00 %"	"80.93 "	""	"93"	"10.8"	"7.03"
"P04278"	"Sex hormone-binding globulin OS=Homo sapiens GN=SHBG PE=1 SV=2 - [SHBG_HUMAN]"	"8.71 %"	"7"	"2"	"2"	"6"	"2"	"2"	"3"	"3"	"8.71 %"	"8.71 %"	"107.24 "	"8.30 "	"402"	"43.8"	"6.71"
"P02766"	"Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1 - [TTHY_HUMAN]"	"40.14 %"	"3"	"4"	"4"	"16"	"4"	"4"	"7"	"9"	"40.14 %"	"40.14 %"	"305.38 "	"39.94 "	"147"	"15.9"	"5.76"
"P25311"	"Zinc-alpha-2-glycoprotein OS=Homo sapiens GN=AZGP1 PE=1 SV=2 - [ZA2G_HUMAN]"	"59.73 %"	"1"	"19"	"19"	"193"	"17"	"14"	"100"	"93"	"55.70 %"	"52.01 %"	"3156.16 "	"308.92 "	"298"	"34.2"	"6.05"
"P02679-2"	"Isoform Gamma-A of Fibrinogen gamma chain OS=Homo sapiens GN=FGG - [FIBG_HUMAN]"	"15.33 %"	"4"	"3"	"3"	"3"	""	"3"	""	"3"	""	"15.33 %"	""	"10.63 "	"437"	"49.5"	"6.09"
"B4E1Z4"	"Complement factor B OS=Homo sapiens GN=CFB PE=2 SV=1 - [B4E1Z4_HUMAN]"	"21.09 %"	"1"	"8"	"20"	"38"	""	"20"	""	"38"	""	"21.09 %"	""	"123.66 "	"1266"	"140.9"	"7.18"
"Q6N093"	"Putative uncharacterized protein DKFZp686I04196 (Fragment) OS=Homo sapiens GN=DKFZp686I04196 PE=1 SV=1 - [Q6N093_HUMAN]"	"14.87 %"	"1"	"2"	"3"	"7"	""	"3"	""	"7"	""	"14.87 %"	""	"18.56 "	"417"	"46.0"	"7.59"
"B2R6W1"	"cDNA, FLJ93143, highly similar to Homo sapiens complement component 7 (C7), mRNA OS=Homo sapiens PE=2 SV=1 - [B2R6W1_HUMAN]"	"40.93 %"	"1"	"1"	"19"	"61"	""	"19"	""	"61"	""	"40.93 %"	""	"214.46 "	"843"	"93.5"	"6.48"
"F5H6S5"	"Complement C1r subcomponent-like protein (Fragment) OS=Homo sapiens GN=C1RL PE=2 SV=1 - [F5H6S5_HUMAN]"	"8.85 %"	"1"	"2"	"2"	"4"	""	"2"	""	"4"	""	"8.85 %"	""	"12.69 "	"192"	"21.0"	"7.65"
"S6B291"	"IgG H chain OS=Homo sapiens PE=2 SV=1 - [S6B291_HUMAN]"	"20.82 %"	"1"	"5"	"6"	"14"	""	"6"	""	"14"	""	"20.82 %"	""	"43.31 "	"466"	"50.8"	"7.77"
"Q53H26"	"Transferrin variant (Fragment) OS=Homo sapiens PE=2 SV=1 - [Q53H26_HUMAN]"	"42.84 %"	"1"	"25"	"25"	"66"	""	"25"	""	"66"	""	"42.84 %"	""	"240.87 "	"698"	"77.0"	"7.03"
"Q6LAM1"	"Heavy chain of factor I (Fragment) OS=Homo sapiens PE=2 SV=1 - [Q6LAM1_HUMAN]"	"31.15 %"	"1"	"2"	"8"	"27"	""	"8"	""	"27"	""	"31.15 %"	""	"95.22 "	"321"	"35.9"	"7.59"
"Q0KKI6"	"Immunoblobulin light chain (Fragment) OS=Homo sapiens PE=2 SV=1 - [Q0KKI6_HUMAN]"	"44.75 %"	"2"	"6"	"6"	"27"	""	"6"	""	"27"	""	"44.75 %"	""	"89.80 "	"219"	"24.0"	"8.06"
