"Accession"	"Description"	"Sum(Coverage)"	"Sum(# Proteins)"	"Sum(# Unique Peptides)"	"Sum(# Peptides)"	"Sum(# PSMs)"	"# Peptides A2"	"# Peptides A6"	"# PSM A2"	"# PSM A6"	"Coverage A2"	"Coverage A6"	"Score A2"	"Score A6"	"# AAs"	"MW [kDa]"	"calc. pI"
"Q14624"	"Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens GN=ITIH4 PE=1 SV=4 - [ITIH4_HUMAN]"	"7.74 %"	"6"	"5"	"5"	"48"	"4"	"4"	"26"	"22"	"5.91 %"	"6.56 %"	"666.99 "	"81.15 "	"930"	"103.3"	"6.98"
"P13645"	"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6 - [K1C10_HUMAN]"	"33.90 %"	"1"	"16"	"17"	"53"	"14"	"14"	"29"	"24"	"24.66 %"	"30.99 %"	"1093.47 "	"78.48 "	"584"	"58.8"	"5.21"
"P02533"	"Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4 - [K1C14_HUMAN]"	"12.29 %"	"1"	"5"	"6"	"19"	"6"	"4"	"12"	"7"	"12.29 %"	"9.11 %"	"385.25 "	"20.45 "	"472"	"51.5"	"5.16"
"P35527"	"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3 - [K1C9_HUMAN]"	"34.19 %"	"1"	"16"	"16"	"73"	"16"	"9"	"44"	"29"	"34.19 %"	"26.00 %"	"1147.65 "	"105.81 "	"623"	"62.0"	"5.24"
"P35908"	"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2 - [K22E_HUMAN]"	"28.48 %"	"1"	"11"	"17"	"57"	"17"	"9"	"34"	"23"	"28.48 %"	"17.68 %"	"1271.52 "	"81.88 "	"639"	"65.4"	"8.00"
"P04264"	"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6 - [K2C1_HUMAN]"	"50.00 %"	"1"	"22"	"26"	"112"	"25"	""	"68"	""	"45.96 %"	"0.00 %"	"2380.98 "	""	"644"	"66.0"	"8.12"
"P13647"	"Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3 - [K2C5_HUMAN]"	"18.31 %"	"1"	"6"	"11"	"23"	"11"	"3"	"17"	"6"	"18.31 %"	"5.42 %"	"527.22 "	"18.49 "	"590"	"62.3"	"7.74"
"P04259"	"Keratin, type II cytoskeletal 6B OS=Homo sapiens GN=KRT6B PE=1 SV=5 - [K2C6B_HUMAN]"	"14.01 %"	"1"	"1"	"8"	"27"	"8"	""	"19"	""	"14.01 %"	"0.00 %"	"633.36 "	""	"564"	"60.0"	"8.00"
"P51884"	"Lumican OS=Homo sapiens GN=LUM PE=1 SV=2 - [LUM_HUMAN]"	"6.21 %"	"1"	"2"	"2"	"2"	"2"	""	"2"	""	"6.21 %"	"0.00 %"	"87.11 "	""	"338"	"38.4"	"6.61"
"P00747"	"Plasminogen OS=Homo sapiens GN=PLG PE=1 SV=2 - [PLMN_HUMAN]"	"3.33 %"	"1"	"2"	"2"	"4"	"2"	"2"	"2"	"2"	"3.33 %"	"3.33 %"	"87.57 "	"6.30 "	"810"	"90.5"	"7.24"
"P05452"	"Tetranectin OS=Homo sapiens GN=CLEC3B PE=1 SV=3 - [TETN_HUMAN]"	"51.98 %"	"1"	"1"	"8"	"41"	"8"	""	"23"	""	"51.98 %"	"0.00 %"	"941.38 "	""	"202"	"22.5"	"5.67"
"E7ETH0"	"Complement factor I light chain OS=Homo sapiens GN=CFI PE=2 SV=1 - [E7ETH0_HUMAN]"	"27.75 %"	"1"	"4"	"11"	"127"	""	"11"	""	"127"	""	"27.75 %"	""	"381.54 "	"591"	"66.6"	"7.59"
"B2R582"	"cDNA, FLJ92374, highly similar to Homo sapiens C-type lectin domain family 3, member B (CLEC3B), mRNA OS=Homo sapiens PE=2 SV=1 - [B2R582_HUMAN]"	"36.14 %"	"1"	"1"	"5"	"22"	""	"5"	""	"22"	""	"36.14 %"	""	"68.91 "	"202"	"22.5"	"6.04"
"Q53H26"	"Transferrin variant (Fragment) OS=Homo sapiens PE=2 SV=1 - [Q53H26_HUMAN]"	"43.12 %"	"1"	"28"	"28"	"136"	""	"28"	""	"136"	""	"43.12 %"	""	"477.82 "	"698"	"77.0"	"7.03"
"Q6LAM1"	"Heavy chain of factor I (Fragment) OS=Homo sapiens PE=2 SV=1 - [Q6LAM1_HUMAN]"	"33.96 %"	"1"	"2"	"9"	"113"	""	"9"	""	"113"	""	"33.96 %"	""	"341.67 "	"321"	"35.9"	"7.59"
"Q0KKI6"	"Immunoblobulin light chain (Fragment) OS=Homo sapiens PE=2 SV=1 - [Q0KKI6_HUMAN]"	"29.68 %"	"3"	"4"	"4"	"26"	""	"4"	""	"26"	""	"29.68 %"	""	"77.70 "	"219"	"24.0"	"8.06"
